公司名称,股票代码,处罚年份,舞弊类型,公告日期,公告年份
福建三木集团股份有限公司,632,2014,虚假记载(误导性陈述),2023/12/31,2023
美尚生态景观股份有限公司,300495,2014,虚构利润、推迟披露、占用公司资产、其他,2023/7/14,2023
贵州益佰制药股份有限公司,600594,2014,推迟披露、未缴或少缴税款(欠税),2021/6/9,2021
鹏博士电信传媒集团股份有限公司,600804,2014,虚列资产、虚假记载(误导性陈述),2024/3/29,2024
上海中路(集团)有限公司,600818,2015,重大遗漏、其他,2024/1/19,2024
上海复旦复华科技股份有限公司,600624,2015,虚假记载(误导性陈述)、重大遗漏,2024/3/20,2024
东旭集团有限公司,40,2015,虚构利润、虚列资产、其他,2025/3/29,2025
东旭集团有限公司,2486,2015,虚构利润、虚列资产、其他,2025/3/29,2025
东莞市众旺昕股权投资合伙企业(有限合伙),603111,2015,虚构利润,2020/12/31,2020
中安科股份有限公司,600654,2015,虚假记载(误导性陈述)、其他,2022/3/9,2022
中路股份有限公司,600818,2015,重大遗漏、其他,2024/1/19,2024
九江嘉柏实业有限公司,2164,2015,虚构利润、其他,2022/3/15,2022
云南九天投资控股集团有限公司,600093,2015,虚构利润、虚假记载(误导性陈述)、重大遗漏,2022/4/20,2022
北京信威科技集团股份有限公司,600485,2015,虚假记载(误导性陈述)、其他,2024/3/12,2024
南京红太阳股份有限公司,525,2015,虚假记载(误导性陈述)、一般会计处理不当,2022/3/15,2022
国创高科实业集团有限公司,2377,2015,推迟披露、其他,2021/2/10,2021
太原重型机械集团有限公司,600169,2015,占用公司资产、其他,2023/12/14,2023
太原重工股份有限公司,600169,2015,占用公司资产、其他,2023/12/14,2023
宁波东力股份有限公司,2164,2015,虚构利润、其他,2022/3/15,2022
山东美晨生态环境股份有限公司,300237,2015,虚构利润、推迟披露、其他,2022/12/7,2022
山东英达钢结构有限公司,760,2015,虚假记载(误导性陈述)、占用公司资产,2021/7/16,2021
山东龙力生物科技股份有限公司,2604,2015,虚假记载(误导性陈述)、重大遗漏,2021/1/13,2021
常州誉华企业管理有限公司,760,2015,虚假记载(误导性陈述)、占用公司资产,2021/7/16,2021
广东柏堡龙股份有限公司,2776,2015,虚构利润、虚假记载(误导性陈述),2021/10/30,2021
延安必康制药股份有限公司,2411,2015,占用公司资产,2020/8/18,2020
斯太尔动力股份有限公司,760,2015,虚假记载(误导性陈述)、占用公司资产,2021/7/16,2021
新海宜科技集团股份有限公司,2089,2015,虚构利润、虚假记载(误导性陈述)、其他,2024/2/6,2024
新疆万源汇金投资控股有限公司,600145,2015,重大遗漏、其他,2022/4/27,2022
新疆亿路万源实业控股股份有限公司,600145,2015,重大遗漏、其他,2022/4/27,2022
新疆机械研究院股份有限公司,300159,2015,虚构利润、虚列资产、其他,2023/1/19,2023
